Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,BitcoinRawBlockFlinkInputFormat,4,1,4,51
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,reachedEnd,3,1,0,57
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,getCurrentState,3,1,0,72
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,reopen,8,1,2,86
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,nextRecord,30,4,1,95
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,BitcoinTransactionFlinkInputFormat,3,1,3,50
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,BitcoinTransactionFlinkInputFormat,4,1,4,55
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,reachedEnd,3,1,0,61
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,getCurrentState,3,1,0,76
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,reopen,9,1,2,90
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,nextRecord,25,4,1,100
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,oneTimeSetUp,2,1,0,43
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,oneTimeTearDown,2,1,0,49
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,setUp,2,1,0,54
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,tearDown,2,1,0,58
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataGenesisBlockAvailable,9,1,0,63
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataVersion1BlockAvailable,9,1,0,75
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataVersion2BlockAvailable,9,1,0,86
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataVersion3BlockAvailable,9,1,0,98
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataVersion4BlockAvailable,9,1,0,109
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,checkTestDataMultiBlockAvailable,9,1,0,121
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,restoreStateBitcoinBlock,26,1,0,132
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,restoreStateBitcoinRawBlock,25,1,0,166
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,restoreStateBitcoinTransaction,29,2,0,199
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinBlockGenesis,17,1,0,234
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinRawBlock,17,1,0,253
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinTransaction,16,2,0,272
hadoopcryptoledger,org.zuinnote.flink.ethereum,AbstractEthereumFlinkInputFormat,AbstractEthereumFlinkInputFormat,3,1,0,38
hadoopcryptoledger,org.zuinnote.flink.ethereum,AbstractEthereumFlinkInputFormat,AbstractEthereumFlinkInputFormat,5,1,2,43
hadoopcryptoledger,org.zuinnote.flink.ethereum,AbstractEthereumFlinkInputFormat,open,5,1,1,57
hadoopcryptoledger,org.zuinnote.flink.ethereum,AbstractEthereumFlinkInputFormat,getEbr,3,1,0,73
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,EthereumBlockFlinkInputFormat,4,1,2,35
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,reopen,8,1,2,57
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,nextRecord,19,3,1,66
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,reachedEnd,3,1,0,88
