deployment_project_reference,deployment_guid,latitude,longitude,time,recovery_datetime_utc,array_name,bottom_depth,depth,deployment_comments,datacenter_reference
BURR,nepBURRBURRARD004-VR2-6762-1005,49.29395,-123.24125,2007-03-26T02:24:00Z,2007-06-02T02:59:00Z,BURR,40.2,40.2,"LOST AND FOUND UNIT, The fisherman found the unit floating on the surface.",nep
BURR,nepBURRBURRARD005-VR2-4175-1006,49.29804,-123.24237,2007-03-26T02:35:00Z,2007-07-25T23:14:00Z,BURR,60.4,55.4,Null,nep
BURR,nepBURRBURRARD006-VR2-4171-1007,49.30222,-123.24289,2007-03-26T02:44:00Z,2007-05-10T16:45:00Z,BURR,69.5,69.5,"LOST AND FOUND UNIT, The fisherman found the unit floating on the surface and it was entangled in his prawn gear.",nep
BURR,nepBURRBURRARD007-VR2-4170-1008,49.30626,-123.24452,2007-03-26T02:50:00Z,2007-07-14T02:59:00Z,BURR,73.2,68.2,"LOST AND FOUND UNIT, The fisherman found it in English Bay.",nep
BURR,nepBURRBURRARD008-VR2-4169-1009,49.31044,-123.24629,2007-03-26T02:55:00Z,,BURR,73.2,68.2,LOST UNIT - UNABLE TO LOCATE,nep
BURR,nepBURRBURRARD009-VR2-4167-1010,49.3144,-123.24807,2007-03-26T03:02:00Z,2007-06-29T11:00:00Z,BURR,82.3,82.3,"LOST AND FOUND UNIT, The unit was found on beach front park adjacent to the North Vancouver Automall.  South foot of Fell St. in North Vancouver.",nep
BURR,nepBURRBURRARD010-VR2-4166-1011,49.31865,-123.24919,2007-03-26T03:09:00Z,2008-01-22T03:59:00Z,BURR,87.8,82.8,"LOST AND FOUND UNIT, Pulled up by bottom trawler.",nep
BURR,nepBURRBURRARD011-VR2-4165-1012,49.323,-123.24994,2007-03-26T03:14:00Z,,BURR,89.6,84.6,LOST UNIT - UNABLE TO LOCATE,nep
BURR,nepBURRBURRARD012-VR2-4164-1013,49.3273,-123.25128,2007-03-26T03:22:00Z,2007-05-25T02:59:00Z,BURR,76.8,76.8,"LOST AND FOUND UNIT,  The fisherman found the unit floating on the surface and called about a week later.",nep
BURR,nepBURRBURRARD013-VR2-4163-1014,49.33156,-123.25219,2007-03-26T03:33:00Z,2007-07-13T14:20:00Z,BURR,49.4,49.4,"LOST AND FOUND UNIT, A fellow researcher found the float balls at the surface.  Kintama asked him to recover both while he was onsite.",nep
BURR,nepBURRBURRARD014-VR2-4157-1015,49.33381,-123.255296,2007-03-26T03:39:00Z,2007-07-13T14:20:00Z,BURR,31.1,31.1,"LOST AND FOUND UNIT, A fellow researcher found the float balls at the surface.  Kintama asked him to recover both while he was onsite.",nep
CAPL,nepCAPLCAPILANO001-VR2W-107945-1851,49.3912,-123.1418,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO001-VR2W-107953-1850,49.3706,-123.1156,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO002-VR2W-107946-1853,49.3851,-123.1353,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO002-VR2W-107954-1852,49.3754,-123.1127,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO003-VR2W-107947-1854,49.373,-123.1184,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO003-VR2W-107955-1855,49.3776,-123.1189,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO004-VR2W-107948-1856,49.3631,-123.1132,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO004-VR2W-107956-1857,49.3879,-123.1321,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO005-VR2W-107949-1858,49.3669,-123.1078,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO006-VR2W-107950-1859,49.3815,-123.1251,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO007-VR2W-107951-1860,49.38,-123.1262,2011-05-09T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CAPL,nepCAPLCAPILANO008-VR2W-107952-1861,49.3909,-123.1377,2011-05-10T18:00:00Z,2011-06-15T19:00:00Z,CAPL,0,0,Estimated recovery time,nep
CASC,nepCASCCASC_HD002-VR2-4048-1412,45.05197,-124.03629,2009-04-10T06:53:00Z,2009-07-30T16:38:00Z,CASC,30.2,30.2,Null,nep
CASC,nepCASCCASC_HD002-VR2W-100328-1862,45.05175,-124.03442,2011-04-07T17:34:00Z,2011-09-29T23:09:00Z,CASC,31.1,26.1,Null,nep
CASC,nepCASCCASC_HD003-VR2-4049-1413,45.05207,-124.04546,2009-04-10T06:59:00Z,2009-07-30T16:58:00Z,CASC,38.4,38.4,Null,nep
CASC,nepCASCCASC_HD003-VR2W-100332-1863,45.05197,-124.0434,2011-04-07T17:46:00Z,2011-09-29T23:44:00Z,CASC,35.1,30.1,Null,nep
CASC,nepCASCCASC_HD004-VR2-4041-597,49.00403,-125.67319,2006-09-30T23:55:00Z,2007-02-23T23:30:00Z,CASC,47.5,47.5,"LOST AND FOUND UNIT, Found on Long Beach B.C.",nep
CASC,nepCASCCASC_HD004-VR2-4050-1414,45.05208,-124.05682,2009-04-10T07:07:00Z,2009-07-30T17:26:00Z,CASC,47.5,47.5,Null,nep
CASC,nepCASCCASC_HD004-VR2W-102754-1864,45.05201,-124.05092,2011-04-07T17:56:00Z,2011-09-30T00:15:00Z,CASC,40.2,35.2,Null,nep
CASC,nepCASCCASC_HD005-VR2-4042-598,45.0523,-124.0668333,2006-10-01T00:06:00Z,2007-05-01T16:44:00Z,CASC,54.9,54.9,Recovery coordinates are approximates.,nep
CASC,nepCASCCASC_HD005-VR2-4061-1415,45.05225,-124.06663,2009-04-10T07:14:00Z,2009-07-30T17:49:00Z,CASC,53,53,Null,nep
CASC,nepCASCCASC_HD005-VR2W-102755-1865,45.05192,-124.05896,2011-04-07T18:05:00Z,2011-09-30T00:27:00Z,CASC,49,44,Null,nep
CASC,nepCASCCASC_HD006-VR2-4043-599,45.05235,-124.07865,2006-10-01T00:15:00Z,2007-05-02T05:02:00Z,CASC,60.4,60.4,Recovery coordinates are approximates.,nep
CASC,nepCASCCASC_HD006-VR2-4062-1416,45.05229,-124.07633,2009-04-10T07:20:00Z,2009-07-30T18:04:00Z,CASC,58.5,58.5,Null,nep
CASC,nepCASCCASC_HD006-VR2W-102756-1866,45.05201,-124.06718,2011-04-07T18:14:00Z,2011-09-30T00:43:00Z,CASC,53,48,MALFUNCTION: NEED TO SEND UNIT TO VEMCO TO DOWNLOAD,nep
